,hv010,hv011,hv012,hv014,hv216
731,0,0,1,0,1
732,1,5,16,1,5
733,2,0,4,0,3
734,3,1,9,2,3
735,1,1,4,1,1
736,1,2,6,1,2
737,1,0,5,1,4
738,2,0,4,1,2
739,1,0,4,2,2
740,0,0,1,0,3
741,1,0,1,0,1
742,0,1,2,0,1
743,1,0,15,2,4
744,1,0,4,1,3
745,1,1,8,1,2
746,1,1,6,2,4
747,2,2,12,1,3
748,1,0,7,2,4
749,1,0,8,1,4
750,0,0,8,1,3
751,1,1,6,1,3
752,2,0,4,0,3
753,0,0,4,1,3
754,2,2,6,1,4
755,0,0,7,1,3
756,1,0,4,2,1
757,1,3,7,1,6
758,0,1,1,0,4
759,2,0,4,1,1
760,1,1,4,1,1
761,1,0,4,2,1
762,1,0,5,1,2
763,1,1,4,1,2
764,5,0,10,3,2
765,0,0,3,0,2
766,1,0,3,0,4
767,1,0,6,2,1
768,1,1,7,2,3
769,0,0,4,0,3
770,1,0,7,1,2
771,1,1,3,1,1
772,0,0,5,0,2
773,0,0,1,0,1
774,1,0,6,1,1
775,1,1,4,0,2
776,2,0,8,3,4
777,0,1,2,0,1
778,2,0,6,2,2
779,0,0,4,1,2
780,2,3,9,3,3
781,3,2,12,0,5
782,1,0,7,1,3
783,1,2,5,0,3
784,1,0,4,0,2
785,1,0,8,1,4
786,1,1,3,1,2
787,2,0,5,1,2
788,0,0,2,0,4
789,2,1,5,2,3
790,0,0,3,0,1
791,0,1,7,1,4
792,1,1,2,0,1
793,0,1,1,0,1
794,2,0,6,2,5
795,2,0,9,1,3
796,0,1,2,0,2
797,1,0,5,1,3
798,2,0,9,1,2
799,2,0,7,0,3
800,1,2,8,2,4
801,1,0,6,2,2
802,5,1,12,3,4
803,1,1,2,0,2
804,1,0,3,0,5
805,1,1,6,2,4
806,0,0,3,0,2
807,1,0,5,2,2
808,0,0,5,1,3
809,2,2,8,1,6
810,1,2,7,0,2
811,0,2,3,0,2
812,1,1,3,0,2
813,1,0,4,2,1
814,3,2,13,2,5
815,1,2,8,2,3
816,2,0,8,1,3
817,1,0,4,2,2
818,1,0,5,2,1
819,1,0,8,0,3
820,1,0,6,1,5
821,2,2,8,2,3
822,0,0,5,1,4
823,1,1,4,1,3
824,2,0,3,0,4
825,1,1,3,0,2
826,1,0,4,1,2
827,1,0,3,1,1
828,2,0,5,1,4
829,1,1,6,1,3
830,5,3,12,3,3
831,0,0,3,0,2
832,1,0,5,3,2
833,1,0,11,0,5
834,2,0,9,2,3
835,1,0,7,2,3
836,3,0,10,0,4
837,1,0,9,0,5
838,2,1,6,3,2
839,1,0,9,2,5
840,2,0,5,2,4
841,1,0,10,3,12
842,4,1,10,0,3
843,1,1,2,0,3
844,1,0,2,0,1
845,1,1,6,1,1
846,0,0,2,0,3
847,0,0,5,1,3
848,2,0,6,0,3
849,1,0,7,2,4
850,1,0,6,0,3
851,1,0,5,0,3
852,0,0,2,0,2
